episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action
0,4196.142660037237,4196.142660037237,0.98,243,,,,,,,,
1,3986.833258005578,4091.4879590214077,0.9603999999999999,243,,,,,,,,
2,4237.6201938899585,4140.198703977591,0.9411919999999999,243,,,,,,,,
3,4180.53473322852,4150.282711290323,0.9223681599999999,243,,,,,,,,
4,4779.036079367819,4276.0333849058225,0.9039207967999998,243,,,,,,,,
5,4832.992094847674,4368.859836562798,0.8858423808639998,243,,,,,,,,
6,4493.773695903411,4386.704673611456,0.8681255332467198,243,,,,,,,,
7,5093.73451763811,4475.083404114788,0.8507630225817854,243,,,,,,,,
8,4970.1467123874445,4530.090438367306,0.8337477621301497,243,,,,,,,,
9,5399.040095921003,4616.985404122675,0.8170728068875467,243,,,,,,,,
10,5208.21581056589,4718.19271917554,0.8007313507497957,243,,,,,,,,
11,5380.666628945623,4857.576056269545,0.7847167237347998,243,,,,,,,,
12,5314.15135655759,4965.229172536308,0.7690223892601038,243,,,,,,,,
13,5629.349076091404,5110.110606822597,0.7536419414749017,243,,,,,,,,
14,5809.088637596286,5213.1158626454435,0.7385691026454037,243,,,,,,,,
15,5683.053309967417,5298.121984157418,0.7237977205924956,243,,,,,,,,
16,5867.751209342896,5435.519735501367,0.7093217661806457,243,,,,,,,,
17,5918.225315079919,5517.968815245547,0.6951353308570327,243,,,,,,,,
18,5610.195585463694,5581.973702553172,0.6812326242398921,243,,,,,,,,
19,6362.850156072771,5678.35470856835,0.6676079717550942,243,,,,,,,,
