episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,dynamic_tsla,replication_state
0,4873.746408176238,4873.746408176238,0.99981,1458,6,3.3750789241513637,6,56.62492107584868,6.792929957277918,-0.06,-0.0,0.0,200.0,BALANCED
1,3687.8814365748995,4280.813922375569,0.99962,1458,8,12.215761950589256,12,47.7842380494107,5.418780678322427,-0.12,-0.0,0.0,400.0,BALANCED
2,4947.859116568812,4503.162320439983,0.99943,1458,2,3.3460078584909256,6,56.653992141509065,6.774602230890685,-0.06,-0.0,0.0,200.0,BALANCED
3,3682.167299471239,4297.913565197798,0.99924,1458,9,12.193744224327045,12,47.80625577567303,5.689153366779861,-0.12,-0.0,0.0,400.0,BALANCED
4,5078.574936055338,4454.045839369306,0.99905,1458,0,3.3443102136881797,6,56.65568978631184,6.882378139880132,-0.06,-0.0,0.0,200.0,BALANCED
5,3729.862640465591,4333.34863955202,0.99886,1458,6,12.146603466536037,12,47.85339653346396,5.397029137464978,-0.12,-0.0,0.0,400.0,BALANCED
6,5045.529098766284,4435.088705154058,0.99867,1458,6,3.383152831934903,6,56.61684716806514,6.826464952137692,-0.06,-0.0,0.0,200.0,BALANCED
7,3839.2992149811153,4360.6150188824395,0.99848,1458,9,12.237663613836826,12,47.76233638616318,5.583914154489095,-0.12,-0.0,0.0,400.0,BALANCED
8,5027.738938766488,4434.739898869556,0.99829,1458,2,3.35135918714074,6,56.648640812859234,6.914240860322169,-0.06,-0.0,0.0,200.0,BALANCED
9,3669.668285771643,4358.232737559765,0.9981,1458,5,12.163612856024349,12,47.83638714397567,5.864789924771193,-0.12,-0.0,0.0,400.0,BALANCED
10,5064.3323894028845,4377.291335682429,0.99791,1458,1,3.3483341213515496,6,56.65166587864842,6.861913135186942,-0.06,-0.0,0.0,200.0,BALANCED
11,3685.7496710786822,4377.078159132808,0.99772,1458,8,12.205585129783614,12,47.794414870216336,5.5851626133427335,-0.12,-0.0,0.0,400.0,BALANCED
12,4973.89327145709,4379.681574621635,0.99753,1458,3,3.3570584767204754,6,56.642941523279596,6.949689043371774,-0.06,-0.0,0.0,200.0,BALANCED
13,3677.7578680025326,4379.240631474765,0.99734,1458,5,12.161774371778025,12,47.83822562822215,5.893038383916116,-0.12,-0.0,0.0,400.0,BALANCED
14,4952.363703965886,4366.61950826582,0.99715,1458,1,3.347355410879786,6,56.65264458912009,6.951361317789512,-0.06,-0.0,0.0,200.0,BALANCED
15,3610.4403555169397,4354.677279770955,0.99696,1458,7,12.21715664495791,12,47.782843355042075,5.62341107237552,-0.12,-0.0,0.0,400.0,BALANCED
16,5028.6036279702375,4352.98473269135,0.99677,1458,2,3.3477097660856314,6,56.65229023391429,6.774137225974286,-0.06,-0.0,0.0,200.0,BALANCED
17,3707.5337635016376,4339.808187543403,0.99658,1458,3,12.135725887317115,12,47.864274112682956,5.304286842658305,-0.12,-0.0,0.0,400.0,BALANCED
18,4943.160602661446,4331.3503539328985,0.99639,1458,0,3.351308700429483,6,56.6486912995704,6.755809500615236,-0.06,-0.0,0.0,200.0,BALANCED
19,3860.5612061301026,4350.439645968743,0.9962,1458,7,12.16014816109783,12,47.839851838902106,5.634659531520063,-0.12,-0.0,0.0,400.0,BALANCED
20,4799.073729790894,4323.913780007544,0.99601,1458,7,3.3681510556782395,6,56.63184894432181,6.843585408800066,-0.06,-0.0,0.0,200.0,BALANCED
21,3765.4249342167786,4331.881306321355,0.99582,1458,8,12.234057403199547,12,47.765942596800606,5.315535301802847,-0.12,-0.0,0.0,400.0,BALANCED
22,5006.492772572666,4335.141256432913,0.99563,1458,0,3.3538943060033515,6,56.64610569399664,6.848843145601503,-0.06,-0.0,0.0,200.0,BALANCED
23,3684.5906245943297,4335.824532092092,0.99544,1458,7,12.168621803503056,12,47.83137819649685,5.7718956615862025,-0.12,-0.0,0.0,400.0,BALANCED
24,5010.648675767585,4341.653029272262,0.99525,1458,6,3.3649406612091917,6,56.63505933879081,7.005619054814513,-0.06,-0.0,0.0,200.0,BALANCED
25,3644.1786007239316,4345.0268537929605,0.9950600000000001,1458,11,12.262601045368719,12,47.73739895463119,5.47977143175723,-0.12,-0.0,0.0,400.0,BALANCED
26,5084.3688334401695,4350.603374339953,0.99487,1458,3,3.36391359543288,6,56.63608640456722,6.953291328427591,-0.06,-0.0,0.0,200.0,BALANCED
27,3633.253075620053,4343.175305551795,0.99468,1458,12,12.268573319085041,12,47.73142668091495,6.310144120328671,-0.12,-0.0,0.0,400.0,BALANCED
28,5020.026890567277,4350.861934342379,0.99449,1458,3,3.3694699506687646,6,56.63053004933122,6.741067237416718,-0.06,-0.0,0.0,200.0,BALANCED
29,3762.962842251765,4341.102097954545,0.9943,1458,5,12.160592560843448,12,47.83940743915656,5.491019891013532,-0.12,-0.0,0.0,400.0,BALANCED
30,4951.3984582890835,4356.334570804364,0.99411,1458,2,3.3484988849654065,6,56.65150111503462,6.742739511253313,-0.06,-0.0,0.0,200.0,BALANCED
31,3754.2341115544605,4355.215488538132,0.99392,1458,6,12.1967148350533,12,47.80328516494673,5.8113925794733365,-0.12,-0.0,0.0,400.0,BALANCED
