episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,dynamic_tsla,dynamic_min_popularity
0,-3605.0986730252584,-3605.0986730252584,0.99981,1458,419,6.825087547981424,6,53.17491245201863,6.28753935424759,-0.06,-0.0,0.0,200.0,0.2
1,-10906.808158495785,-7255.953415760522,0.99962,1458,851,24.670785298638382,12,35.32921470136155,0.0,-0.12,-0.5290254613952206,0.0,400.0,0.5
2,-8752.297476942518,-7754.7347694878545,0.99943,1458,466,6.528393382963918,6,53.471606617036116,6.062380990404492,-0.06,-0.0,0.0,180.0,0.5
3,-11979.42795252016,-8810.90806524593,0.99924,1458,706,23.62415951039421,12,36.375840489605714,0.0,-0.12,-6.558972305842405,0.0,340.0,0.8
4,-7983.1402951546115,-8645.354511227666,0.99905,1458,447,6.227217437923974,6,53.77278256207588,0.0,-0.06,-14.122420457521523,0.0,120.0,0.8
5,-15408.621270119404,-9772.565637709622,0.99886,1458,696,21.752374772634468,12,38.2476252273655,1.1028065386332175,-0.12,-0.0,0.0,360.0,0.30000000000000004
6,-5350.108676690374,-9140.78607184973,0.99867,1458,237,5.553262153061369,6,54.446737846938646,0.0,-0.06,-4.3257355149283505,0.0,180.0,0.9
7,-13568.31498030539,-9694.227185406688,0.99848,1458,604,20.13400318928905,12,39.86599681071101,0.0,-0.12,-5.194027473095755,0.0,340.0,0.6000000000000001
8,-9585.880307976642,-9682.188643470015,0.99829,1458,626,7.674922208034295,6,52.32507779196565,0.0,-0.06,-12.775244410959083,0.0,130.0,0.2
9,-12366.328852977855,-9950.6026644208,0.9981,1458,632,22.28575845223739,12,37.71424154776277,1.9918915854409092,-0.12,-0.0,0.0,360.0,0.4
10,-7686.946045144125,-10358.787401632686,0.99791,1458,553,7.331194042952418,6,52.66880595704759,4.608207990528931,-0.06,-0.0,0.0,140.0,0.9
11,-13536.550758850371,-10621.761661668144,0.99772,1458,698,22.559882663800053,12,37.44011733619981,0.0,-0.12,-7.676149648373438,0.0,260.0,0.0
12,-9767.448863924965,-10723.27680036639,0.99753,1458,655,8.615152098071269,6,51.38484790192875,0.0,-0.06,-4.903018804570096,0.0,160.0,0.0
13,-12051.792707188293,-10730.513275833202,0.99734,1458,689,23.232577926254894,12,36.76742207374506,0.0,-0.12,-11.670126245606301,0.0,240.0,0.7000000000000001
14,-8491.036500932785,-10781.30289641102,0.99715,1458,496,6.86416593307521,6,53.13583406692483,4.738150410566545,-0.06,-0.0,0.0,130.0,0.7000000000000001
15,-16433.443815071565,-10883.785150906235,0.99696,1458,750,21.942322137839085,12,38.05767786216096,0.3904221043118272,-0.12,-0.0,0.0,380.0,0.5
16,-6083.010261936267,-10957.075309430827,0.99677,1458,148,4.911507988086769,6,55.088492011913154,5.636050745396574,-0.06,-0.0,0.0,150.0,0.1
17,-12160.83783278223,-10816.32759467851,0.99658,1458,686,22.924437400293876,12,37.07556259970614,0.0,-0.12,-1.4844336953164516,0.0,340.0,0.8
18,-5984.962014707661,-10456.235765351612,0.99639,1458,261,5.5964978229748565,6,54.40350217702517,5.683828586060672,-0.06,-0.0,0.0,170.0,0.2
19,-15397.816108578882,-10759.384490911714,0.9962,1458,778,24.05689161247886,12,35.943108387521164,0.0,-0.12,-0.5882286148411175,0.0,400.0,0.7000000000000001
20,-6002.606755793827,-10590.950561976682,0.99601,1458,314,6.121431878072239,6,53.87856812192772,5.895078203143349,-0.06,-0.0,0.0,190.0,0.30000000000000004
21,-16949.813705499182,-10932.276856641565,0.99582,1458,770,22.553656875148206,12,37.44634312485179,0.0,-0.12,-10.337450185523544,0.0,260.0,0.4
22,-7414.0873004713785,-10696.940700296207,0.99563,1458,507,7.153406832826884,6,52.846593167173104,6.403994398456218,-0.06,-0.0,0.0,200.0,0.5
23,-16844.710372008518,-11176.23246677823,0.99544,1458,781,21.75945688249885,12,38.240543117501154,0.2829707604833598,-0.12,-0.0,0.0,400.0,0.7000000000000001
24,-6598.846629353738,-10987.013479620324,0.99525,1458,392,6.228368887885648,6,53.77163111211435,4.9425165066157355,-0.06,-0.0,0.0,150.0,0.30000000000000004
25,-12643.048281275012,-10607.97392624067,0.9950600000000001,1458,525,21.779382145189683,12,38.22061785481031,3.417182696210468,-0.12,-0.0,0.0,360.0,0.0
26,-6294.570517073988,-10629.129951754443,0.99487,1458,494,7.338680722838089,6,52.66131927716181,0.0,-0.06,-3.0749912771648225,0.0,170.0,0.6000000000000001
27,-14564.297170054186,-10869.475885481635,0.99468,1458,704,22.59026635731031,12,37.409733642689645,3.9869384323484702,-0.12,-0.0,0.0,380.0,0.4
28,-10638.634940414371,-11334.843178052308,0.99449,1458,673,8.417564777785278,6,51.582435222214855,0.0,-0.06,-12.346574692499388,0.0,130.0,0.8
29,-17384.1000338833,-11533.47157058275,0.9943,1458,772,22.814131619443266,12,37.18586838055669,0.0,-0.12,-8.560839258978685,0.0,300.0,0.6000000000000001
