episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss
0,4080.59546350111,4080.59546350111,1000,0.06935121864080429,50,3.840828924151361,6,56.15917107584872,6.792929957277918,-0.06,-0.0,0.0,0.0
1,4711.476121509581,4396.035792505346,2000,0.06857702229171991,46,3.8400847466214043,6,56.15991525337861,6.8715420025595275,-0.06,-0.0,0.0,2.3814936578273773
2,3325.606962948346,4039.2261826530125,3000,0.0658948989585042,306,5.770157858490917,2,54.229842141509124,6.774602230890685,-0.02,-0.0,0.0,1.6417498576641083
3,6372.11638823352,4622.448734048139,4000,0.06388716213405132,48,3.808349680935207,2,56.191650319064834,6.873214278005447,-0.02,-0.0,0.0,0.7894522860646248
4,6401.451820343049,4978.249351307121,5000,0.0627911314368248,47,3.8123102136881806,2,56.18768978631183,6.882378139880132,-0.02,-0.0,0.0,0.45741147190332415
5,6380.5992575543505,5211.974335681659,6000,0.06197552848607302,51,3.8101260360766793,2,56.18987396392332,6.975990185385616,-0.02,-0.0,0.0,0.4353119991719723
6,6399.539783297552,5381.626542483929,7000,0.061267441138625145,48,3.8066028319348986,2,56.1933971680651,6.826464952137692,-0.02,-0.0,0.0,0.4148407976329327
7,6381.320759468674,5506.588319607023,8000,0.06064358726143837,50,3.81334665422898,2,56.18665334577089,6.85107699764282,-0.02,-0.0,0.0,0.38598250344395635
8,6384.675811874724,5604.153596525656,9000,0.06007709074765444,48,3.8112591871407395,2,56.188740812859216,6.914240860322169,-0.02,-0.0,0.0,0.3879037544131279
9,6382.510380873797,5681.9892749604705,10000,0.059624409303069115,47,3.8128190095378165,2,56.1871809904622,7.027852905827604,-0.02,-0.0,0.0,0.32506475552916525
