episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss,dynamic_tsla,dynamic_min_popularity,replication_state
0,5953.606497340118,5953.606497340118,1000,0.06093749962747097,55,3.864997496287714,6,56.13500250371226,6.886284266562706,-0.06,-0.0,0.0,0.0,200.0,0.3,BALANCED
1,4667.833543732162,5310.7200205361405,2000,0.06011264957487583,66,13.367841413609957,12,46.63215858638987,5.3284839744517996,-0.12,-0.0,0.0,1.637148715853691,400.0,0.3,BALANCED
2,6357.1544173730845,5659.531486148455,3000,0.05804595910012722,49,3.809749851630873,2,56.19025014836917,6.9740601755522,-0.02,-0.0,0.0,1.3522491711378097,200.0,0.3,BALANCED
3,4076.9337360247855,5263.882048617537,4000,0.05611264519393444,105,13.992743687240454,12,46.00725631275952,6.158856662911481,-0.12,-0.0,0.0,0.8444783946871758,400.0,0.3,BALANCED
4,6341.764030537556,5479.458445001541,5000,0.05490280408412218,48,3.81248478573869,2,56.18751521426126,6.921732449388795,-0.02,-0.0,0.0,0.5030083867907524,200.0,0.3,BALANCED
5,4863.560049315485,5376.808712387198,6000,0.053810613229870796,63,13.2580929294709,10,46.74190707052915,5.366732433596343,-0.1,-0.0,0.0,0.5115360519289971,400.0,0.3,BALANCED
6,6360.168435544833,5517.288672838289,7000,0.05279343295842409,43,3.812533141064701,2,56.187466858935366,6.7445083583778755,-0.02,-0.0,0.0,0.4421721719205379,200.0,0.3,BALANCED
7,4911.1085138993685,5441.516152970924,8000,0.05175969377160072,63,13.306995202650793,5,46.6930047973492,5.697105121654149,-0.05,-0.0,0.0,0.4864867462217808,400.0,0.3,BALANCED
8,6367.545560949547,5544.408309412993,9000,0.05074071045964956,48,3.8100840751853906,2,56.18991592481463,7.026180632214527,-0.02,-0.0,0.0,0.4064290151000023,200.0,0.3,BALANCED
9,3055.248241882821,5295.492302659976,10000,0.0497661205008626,63,16.200604445610818,4,43.79939555438913,3.323234728196036,-0.04,-0.0,0.0,0.5243345722556114,400.0,0.3,BALANCED
10,6364.902219598893,5336.621874885854,11000,0.04877789970487356,45,3.809844430597223,2,56.19015556940275,6.833956541203962,-0.02,-0.0,0.0,0.43411259323358536,200.0,0.3,BALANCED
11,4910.780414712445,5360.916561983883,12000,0.04791027680039406,63,13.25043671896236,8,46.74956328103767,5.698353580686602,-0.08,-0.0,0.0,0.4823984183371067,400.0,0.3,BALANCED
12,5428.687506185742,5268.069870865148,13000,0.047111840918660164,134,4.246505364859532,2,55.75349463514051,6.83562881481704,-0.02,-0.0,0.0,0.46396095275878907,200.0,0.3,BALANCED
13,4930.345155282365,5353.411012790906,14000,0.04635320324450731,63,13.239565961021158,7,46.76043403897892,5.389229351371339,-0.07,-0.0,0.0,0.4831719236075878,400.0,0.3,BALANCED
