episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss,dynamic_tsla,replication_state
0,3654.0490711992356,3654.0490711992356,1000,0.06093749962747097,1,3.3426789241513646,6,56.65732107584869,6.792929957277918,-0.06,-0.0,0.0,0.0,200.0,BALANCED
1,2710.795656642132,3182.422363920684,2000,0.06028948165476322,3,12.125761950589256,12,47.874238049410714,5.85878067831998,-0.12,-0.0,0.0,1.9488889706134795,400.0,BALANCED
2,6062.649255721325,4142.497994520898,3000,0.058378140442073345,5,3.370307858490926,6,56.62969214150906,6.774602230890685,-0.06,-0.0,0.0,1.1777188009023667,200.0,BALANCED
3,1507.4371924918887,3483.7327940136456,4000,0.0567869832739234,202,17.71524422432705,4,42.284755775672984,3.304395250805585,-0.04,-0.0,0.0,0.6072606974840165,382.0,BALANCED
4,6829.828122864545,4152.951859783825,5000,0.055700210854411125,0,3.3398102136881795,5,56.66018978631184,6.882378139880132,-0.05,-0.0,0.0,0.3332639633119106,200.0,BALANCED
5,4909.49239528831,4279.041949034573,6000,0.054900383576750755,3,12.095303466536036,12,47.90469653346395,5.397029137464978,-0.12,-0.0,0.0,0.2595706730335951,400.0,BALANCED
6,6886.691821641381,4651.563359406974,7000,0.0541963679715991,0,3.3251028319349043,3,56.67489716806514,6.826464952137692,-0.03,-0.0,0.0,0.20753097884356975,200.0,BALANCED
7,5186.566409364914,4718.438740651716,8000,0.05354529432952404,3,12.108963613836826,12,47.89103638616318,5.583914154489095,-0.12,-0.0,0.0,0.18999804951250554,400.0,BALANCED
8,6890.964705096894,4959.830514478958,9000,0.052953071892261505,1,3.3252591871407406,2,56.67474081285924,6.914240860322169,-0.02,-0.0,0.0,0.17329012911766767,200.0,BALANCED
9,5325.836200251393,4996.431083056201,10000,0.052405345253646374,3,12.135712856024348,12,47.864287143975666,5.864789924771193,-0.12,-0.0,0.0,0.1608766047656536,400.0,BALANCED
10,6883.590801420447,5319.3852560783225,11000,0.05191956274211407,2,3.3303341213515503,2,56.66966587864842,6.861913135186942,-0.02,-0.0,0.0,0.14443877309560776,200.0,BALANCED
11,5345.917005787535,5582.897390992863,12000,0.05147274024784565,3,12.127285129783617,11,47.872714870216335,5.5851626133427335,-0.11,-0.0,0.0,0.13942683003842832,400.0,BALANCED
12,6894.493543834008,5666.0818198041325,13000,0.05106786545366049,1,3.322858476720475,2,56.677141523279595,6.949689043371774,-0.02,-0.0,0.0,0.133512589558959,200.0,BALANCED
13,5406.141198427773,6055.952220397719,14000,0.05069738905876875,3,12.08167437177803,9,47.91832562822215,5.893038383916116,-0.09,-0.0,0.0,0.1274441469460726,400.0,BALANCED
14,6880.032178721151,6060.972625983381,15000,0.05036018695682287,1,3.325305410879786,2,56.67469458912009,6.951361317789512,-0.02,-0.0,0.0,0.12990627691149711,200.0,BALANCED
15,5391.606889285714,6109.184075383121,16000,0.05004972033202648,3,12.097906644957911,9,47.902093355042076,5.62341107237552,-0.09,-0.0,0.0,0.12432119503617287,400.0,BALANCED
16,6897.274462722437,6110.242339491227,17000,0.04979842994362116,0,3.321609766085631,2,56.67839023391431,6.774137225974286,-0.02,-0.0,0.0,0.112578563131392,200.0,BALANCED
17,5391.234002159037,6130.709098770639,18000,0.0495695685967803,3,12.100175887317116,9,47.89982411268297,5.304286842658305,-0.09,-0.0,0.0,0.10548285812139511,400.0,BALANCED
18,6883.1512320056245,6129.927751461512,19000,0.049365716986358166,0,3.3252087004294832,2,56.6747912995704,6.755809500615236,-0.02,-0.0,0.0,0.10888809241354465,200.0,BALANCED
19,5392.777546184827,6136.621886054855,20000,0.04918876010924578,3,12.09624816109783,9,47.90375183890211,5.634659531520063,-0.09,-0.0,0.0,0.11256418697535991,400.0,BALANCED
20,6901.551977383157,6138.418003651126,21000,0.04903982859104872,0,3.3218010556782387,2,56.67819894432181,6.843585408800066,-0.02,-0.0,0.0,0.10793731261044741,200.0,BALANCED
21,5403.556028677497,6144.181905940122,22000,0.04891426861286163,3,12.109857403199543,8,47.89014259680062,5.315535301802847,-0.08,-0.0,0.0,0.10505852565169334,400.0,BALANCED
22,6892.31497221274,6143.964048777996,23000,0.048810288310050964,0,3.327794306003351,2,56.67220569399664,6.848843145601503,-0.02,-0.0,0.0,0.09747706018388272,200.0,BALANCED
23,5397.541560750487,6143.104085010267,24000,0.048727029003202915,3,12.081321803503052,9,47.91867819649686,5.7718956615862025,-0.09,-0.0,0.0,0.10778153581544757,400.0,BALANCED
24,6881.875856738359,6143.2884528119885,25000,0.04866223596036434,1,3.3266906612091915,2,56.67330933879081,7.005619054814513,-0.02,-0.0,0.0,0.10308280970901251,200.0,BALANCED
25,5415.088406660725,6145.636604549489,26000,0.048612498678267,3,12.099251045368717,8,47.9007489546312,5.47977143175723,-0.08,-0.0,0.0,0.0980255744792521,400.0,BALANCED
26,6890.2572607331995,6144.934884350565,27000,0.04857603553682566,0,3.32971359543288,2,56.67028640456722,6.953291328427591,-0.02,-0.0,0.0,0.0929482951760292,200.0,BALANCED
27,5413.76449784278,6147.187933918939,28000,0.04855117481201887,3,12.09532331908504,8,47.90467668091495,6.310144120328671,-0.08,-0.0,0.0,0.1032285963371396,400.0,BALANCED
28,6856.8411472778225,6144.55692544616,29000,0.048534621484577656,1,3.331669950668764,3,56.66833004933122,6.741067237416718,-0.03,-0.0,0.0,0.09661775559186936,200.0,BALANCED
29,5408.714970815252,6146.150667909202,30000,0.04852374829351902,3,12.10479256084345,8,47.89520743915655,5.491019891013532,-0.08,-0.0,0.0,0.09992039330303669,400.0,BALANCED
