episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss,dynamic_tsla,dynamic_min_popularity
0,-1417.050381834137,-1417.050381834137,1000,0.06093749962747097,113,4.2984789241513655,6,55.70152107584873,6.152929957278344,-0.06,-0.0,0.0,0.0,200.0,1.0
1,-8032.831118076422,-4724.94074995528,2000,0.060388654470443726,715,18.076111950589258,12,41.92388804941082,0.0,-0.12,-0.3371799140851284,0.0,1.6918748539686204,400.0,0.5
2,-5343.118765360941,-4931.000088423833,3000,0.058812172152101994,397,5.258507858490921,6,54.74149214150908,5.1671170147182774,-0.06,-0.0,0.0,1.6607565450668336,160.0,0.5
3,-6836.303898222422,-5407.32604087348,4000,0.057267166674137115,618,18.54099422432704,12,41.45900577567298,0.0,-0.12,-9.438726417826008,0.0,1.4537134072184563,300.0,0.9
4,-1834.916754061904,-4692.844183511165,5000,0.055858329869806767,84,3.939660213688182,6,56.060339786311836,6.282378139880464,-0.06,-0.0,0.0,1.4689528465270996,200.0,1.0
5,-8404.32712185323,-5311.424673234843,6000,0.05466878414154053,543,18.83765346653604,12,41.16234653346394,0.27081601919910603,-0.12,-0.0,0.0,1.3432954680919647,400.0,0.7000000000000001
6,-2583.837205472833,-4921.769320697413,7000,0.05375922564417124,89,3.8691528319348976,6,56.130847168065095,6.16833124319699,-0.06,-0.0,0.0,1.290937490463257,200.0,1.0
7,-4143.483483026183,-4824.483590988509,8000,0.05308421980589628,518,18.504363613836826,11,41.49563638616312,0.0,-0.11,-0.004879552191723313,0.0,1.2931698298454284,400.0,1.0
8,-2181.859324907164,-4530.858672535026,9000,0.052518184296786785,259,4.753109187140747,5,55.24689081285921,6.6142408603225125,-0.05,-0.0,0.0,1.1504071629047394,200.0,0.30000000000000004
9,-5529.455955485019,-4630.7184008300255,10000,0.051997789181768894,720,20.90621285602438,12,39.09378714397572,3.22270943016583,-0.12,-0.0,0.0,0.9958558690547943,400.0,1.0
10,-3544.219532314489,-4843.4353158780605,11000,0.05153112206608057,562,6.58248412135156,6,53.417515878648416,5.327391418984094,-0.06,-0.0,0.0,0.9001551613211631,160.0,1.0
11,-6558.528274496185,-4696.005031520037,12000,0.05112494993954897,751,23.132485129783614,12,36.8675148702163,3.49938951155375,-0.12,-0.0,0.0,0.825302390307188,400.0,1.0
12,-4404.272226156882,-4602.120377599632,13000,0.05075874458998442,638,8.028058476720473,6,51.97194152327956,0.0,-0.06,-1.89143422293653,0.0,0.7574384096264839,170.0,0.2
13,-4986.526405822104,-4417.142628359599,14000,0.050428617745637894,699,23.585024371778033,12,36.414975628221924,0.5395035435698137,-0.12,-0.0,0.0,0.7239089894294739,400.0,1.0
14,-2821.9109785228925,-4515.842050805698,15000,0.05011953413486481,476,6.948255410879775,6,53.05174458912017,5.814201647236877,-0.06,-0.0,0.0,0.653779036924243,160.0,0.7000000000000001
15,-6122.4574205624585,-4287.655080676621,16000,0.04986003506928682,782,24.22945664495796,12,35.77054335504204,3.850747773484912,-0.12,-0.0,0.0,0.6212924063205719,380.0,0.30000000000000004
16,-2543.047111755982,-4283.576071304936,17000,0.04962476994842291,476,6.759609766085626,6,53.24039023391432,0.33910087372033604,-0.06,-0.0,0.0,0.6207487386465073,200.0,1.0
17,-4075.1212851305045,-4276.739851515367,18000,0.04941847454756498,679,21.405275887317114,12,38.5947241126829,0.6789304686020925,-0.12,-0.0,0.0,0.606363523453474,400.0,0.8
18,-783.5798534590351,-4136.911904370556,19000,0.04923975747078657,354,6.08505870042948,6,53.91494129957043,5.776193263094687,-0.06,-0.0,0.0,0.566757170110941,200.0,1.0
19,-3923.814206478874,-3976.3477294699405,20000,0.04908556677401066,644,21.882398161097846,12,38.11760183890221,0.0,-0.12,-0.5756540381316322,0.0,0.5030228546261788,400.0,1.0
20,318.2496213330477,-3590.1008141051875,21000,0.04895362351089716,263,5.458401055678243,6,54.541598944321805,6.243585408800398,-0.06,-0.0,0.0,0.4937356822937727,200.0,0.6000000000000001
21,-3802.722069732728,-3314.520193628841,22000,0.04884311929345131,541,21.55625740319951,12,38.44374259680048,0.0,-0.12,-1.8885183594281596,0.0,0.47444703191518783,400.0,0.9
22,-113.64778927036618,-2885.45774994019,23000,0.04874965641647577,270,5.771744306003346,6,54.228255693996665,5.957986476738299,-0.06,-0.0,0.0,0.4660433777794242,200.0,1.0
23,-4461.967745603962,-2833.0018839183754,24000,0.0486757131293416,578,20.688471803503077,12,39.31152819649696,0.017426411816680032,-0.12,-0.0,0.0,0.46455101639032365,400.0,1.0
24,423.8663244578562,-2508.4241536203003,25000,0.048616545274853706,288,5.932640661209186,6,54.067359338790794,6.125357189084419,-0.06,-0.0,0.0,0.4743445212393999,200.0,1.0
25,-1976.0977245069084,-2093.7881840147456,26000,0.04857303574681282,383,18.008651045368712,12,41.991348954631256,1.8235652299322014,-0.12,-0.0,0.0,0.4410006375610828,400.0,0.8
26,-1798.211920367595,-2019.3046648759068,27000,0.04853981826454401,576,6.382513595432884,6,53.617486404567174,5.091614160534387,-0.06,-0.0,0.0,0.4632343567162752,160.0,1.0
27,-3384.499339393702,-1950.2424703022268,28000,0.048517205752432346,455,20.16922331908506,12,39.83077668091505,4.417844385814355,-0.12,-0.0,0.0,0.4097968301922083,400.0,1.0
28,2011.7854776502868,-1670.7059371912947,29000,0.04850297886878252,243,5.430919950668762,6,54.56908004933123,6.129589662136676,-0.06,-0.0,0.0,0.4161327087134123,200.0,1.0
29,-3638.901413971213,-1642.2146579405285,30000,0.04849443770945072,489,20.406842560843447,12,39.59315743915661,0.0,-0.12,-6.483112738541279,0.0,0.39832366779446604,320.0,1.0
